first_name,last_name,clinician_type,states_licensed,accepted_insurances,psypact,biography,gender,email
Alex,Clark,PSYCHOLOGIST,TN,BCBS,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Non-binary,alex.clark@example.com
Sam,Lewis,PSYCHOLOGIST,NY;MA,Aetna;BCBS,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Non-binary,sam.lewis@example.com
Jordan,Young,THERAPIST,IL;TX,BCBS;Aetna,False,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Female,jordan.young@example.com
Taylor,Hill,PSYCHOLOGIST,FL;NC,Aetna;BCBS,True,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Male,taylor.hill@example.com
Morgan,Scott,PSYCHOLOGIST,TX;FL;NC,,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Non-binary,morgan.scott@example.com
Jamie,Green,PSYCHOLOGIST,IL;TN,BCBS,True,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Male,jamie.green@example.com
Casey,Adams,THERAPIST,FL;NC;MA,,True,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Female,casey.adams@example.com
Drew,Baker,THERAPIST,MA,BCBS,False,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Female,drew.baker@example.com
Robin,Parker,THERAPIST,NY,,True,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Female,robin.parker@example.com
Pat,Evans,PSYCHOLOGIST,IL;TN,Aetna;BCBS,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Non-binary,pat.evans@example.com
Lee,White,THERAPIST,MA;NC;IL,,False,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Male,lee.white@example.com
Chris,Turner,THERAPIST,NY;FL;MA,,False,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Male,chris.turner@example.com
Dana,King,PSYCHOLOGIST,MA;NC,Aetna,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Male,dana.king@example.com
Quinn,Cook,THERAPIST,NY,BCBS;Aetna,True,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Male,quinn.cook@example.com
Skyler,Murphy,THERAPIST,FL;NC,BCBS,False,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Female,skyler.murphy@example.com
Jesse,Bell,THERAPIST,NC;MA;TX,BCBS,True,"My approach as a therapist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Female,jesse.bell@example.com
Reese,Ward,PSYCHOLOGIST,NY,Aetna;BCBS,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Non-binary,reese.ward@example.com
Cameron,Foster,PSYCHOLOGIST,NC,BCBS;Aetna,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Male,cameron.foster@example.com
Riley,Russell,PSYCHOLOGIST,TX,BCBS;Aetna,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Non-binary,riley.russell@example.com
Rowan,Brooks,PSYCHOLOGIST,NY,BCBS,False,"My approach as a psychologist is deeply influenced by a desire to make a positive impact in the lives of my clients, focusing on the unique challenges and strengths of each individual.",Female,rowan.brooks@example.com
